contents_id	title	description	category_list	url	image	icon-img	blank	priority	tag1	tag2	tag3
1001	3D設計技術「長谷工版BIM（ビム）」	55万戸（2014年6月末現在）を越えるマンション施工実績を持つ長谷工の新技術。マンションに特化した3D設計技術「長谷工版BIM（ビム）」についてご紹介いたします。	magazine	/magazine/article/bim.php	/thm/magazine-bim.png				長谷工の技術	NULL	NULL
1002	女性編集部員のモデルルームチェック！	モデルルームをチェックするのは、ブランシエラクラブ編集部員の女性陣。子育てをしながら働く彼女たちならではの視点で、厳しくチェックします！	magazine	/magazine/article/modelroom.php	/thm/magazine-modelroom.png				長谷工の技術	NULL	NULL
1003	長谷工プレミアムアフターサービス	長谷工コーポレーションが提供している、マンションご購入後のアフターサービス「長谷工プレミアムアフターサービス」の特徴についてお答えいたします！	magazine	/magazine/article/pas.php	/thm/magazine-pas.png				暮らしのサービス	インタビュー	NULL
1004	長谷工のリサイクルショップ「カシコシュ」	購入者の70%超がリピーター!長谷工のリサイクルショップ「カシコシュ」の秘密を、実際の担当者に聞いてきました！	magazine	/magazine/article/kasikosh.php	/thm/magazine-kasikosh.png				暮らしのサービス	インタビュー	特典あり
1005	次世代型マンション企画「Be-Next」	マンションが、もっと広く、もっと快適・安心に。 長谷工の次世代型マンション企画「Be-Next」の秘密を実際の担当者に聞いてきました！	magazine	/magazine/article/benext.php	/thm/magazine-benext.png				長谷工の技術	インタビュー	NULL
1006	マンション建て替え事業	「建て替えを検討した時、家族の将来について考えた」。建て替え事業は、住まう方が将来の暮らしを具体的に考える絶好の機会でもあります。	magazine	/magazine/article/bcyamamoto.php	/thm/magazine-bcyamamoto.png				長谷工の技術	インタビュー	NULL
1007	（仮）市川行徳		magazine					-1	NULL	NULL	NULL
1008	長谷工のインテリア相談サービス「インテリアサロン」	世界中のメーカーや職人が日々作り出す家具の数々。その中からお気に入りの逸品と出会うお手伝いをすること。それが、インテリアサロンの仕事です。	magazine	/magazine/article/intech.php	/thm/magazine-intech.png				暮らしのサービス	インタビュー	特典あり
1009	遠くに離れたご高齢者をそっと見守る新サービス	長谷工コミュニティが初めてお届けする高齢者向けサービス。離れてお住まいのご高齢者をそっと見守り、安心を支えます。	magazine	/magazine/article/senior.php	/thm/magazine-senior.png				暮らしのサービス	インタビュー	NULL
1010	【長谷工のリフォーム】豊富な実績と確かな技術で叶えるマンション・戸建てリフォーム	長谷工グループの一員として、豊かな経験と最新の技術で住み継がれる住まいを残すため、さまざまなソリューションを提供する。	magazine	/magazine/article/reform.php	/thm/magazine-reform.png				暮らしのサービス	インタビュー	特典あり
1011	【長谷工の賃貸】入居者とオーナーの両面から賃貸をサポート	きめ細かな賃貸マンションの管理運営により資産価値を高め、入居者さまに快適なマンションライフを提供する長谷工の賃貸サービス。	magazine	/magazine/article/rent.php	/thm/magazine-rent.png				暮らしのサービス	インタビュー	特典あり
1012	【長谷工の高齢者サービス】ライフ＆シニアハウス日暮里	長谷工グループの有料老人ホーム「ライフ＆シニアハウス日暮里」をご紹介します。	magazine	/magazine/article/senior-nippori.php	/thm/magazine-senior-nippori.png				暮らしのサービス	インタビュー	特典あり
1014	【長谷工のシニア事業】高齢者住宅・在宅ケアサービス	住まいのオンリーワングループである「長谷工グループ」の安定した経営基盤とマンション施工実績、シニア事業30年来の実績を活かし、高齢者のみなさまの快適な毎日を提供いたします。	magazine	/magazine/article/senior-service.php	/thm/magazine-senior-service.png				暮らしのサービス	インタビュー	特典あり
1013	【長谷工の高齢者サービス】センチュリーハウス武蔵浦和	（株）センチュリーハウスが運営する有料老人ホーム「センチュリーハウス武蔵浦和」を取材しました。	magazine	/magazine/article/senior-urawa.php	/thm/magazine-senior-urawa.png				暮らしのサービス	インタビュー	特典あり
1015	【長谷工の保険サービス】お住まいの方の安心なマンションライフをサポート	きめ細やかなサポートと迅速な対応でマンションに潜むリスクをケアし、安全・安心で快適なマンションライフを実現する長谷工の保険サービス。	magazine	/magazine/article/insurance.php	/thm/magazine-insurance.png				暮らしのサービス	インタビュー	NULL
1016	心地よい暮らしを応援する【長谷工のリフォーム】	豊富な知識と経験を生かしてお客さまのご要望にお応えする「長谷工リフォーム」。	magazine	/magazine/article/reform3.php	/thm/magazine-reform3.png				暮らしのサービス	インタビュー	特典あり
2001	【西台・高島平】整備された穏やかな緑道を歩く	「高島平」駅を抜け「西高島平」駅近くまで続く緑道は、自然を満喫できる公園として周辺住民に親しまれています。	town	/magazine/article/green.php	/thm/town-green.png				エリア情報	NULL	NULL
2002	【西台・高島平】商業施設やお洒落なお店が揃う	毎日のお買い物に便利なエリア。複合商業施設「メトロ・エム」をはじめ、「高島平とうきゅう」や「ケーヨーデイツー」もあり！	town	/magazine/article/area.php	/thm/town-area.png				エリア情報	NULL	NULL
2003	【西台・高島平】23区内、大手町へ直通29分	西台・高島平エリアの特徴は、何といっても都心が身近なことです。「高島平」駅から始発利用可。都心主要駅からの終電は0時前後！	town	/magazine/article/access.php	/thm/town-access.png				エリア情報	NULL	NULL
2004	【洋菓子製造販売】菓子工房 ガトーマスダ	何個でも食べられそう？！50年以上に渡りフルーツの洋酒漬を中心に加工を行う菓子材料製造の老舗の「完熟アップルパイ」	town	/magazine/article/spot-3.php	/thm/town-spot-3.png				エリア情報	NULL	NULL
2005	【欧風カレー】インディラ	研究に10年以上の歳月を費やして生まれたというカレー。ヤミツキになる辛さにハマる人続出！食べるほどに味わい深い「欧風カレー」。	town	/magazine/article/spot-2.php	/thm/town-spot-2.png				エリア情報	NULL	NULL
2006	【カフェ】cafe hana hana	手作りのデリ＆スイーツで幸せ気分をチャージ!北欧雑貨や季節のデコレーションが心を和ませてくれるキュートなほっこりカフェ。	town	/magazine/article/spot-1.php	/thm/town-spot-1.png				エリア情報	NULL	NULL
2007	【カフェ】ネストカフェ	地元育ちのご主人と奥さまが経営するご近所付き合いが楽しくなる止まり木カフェ。	town2	/magazine/article/urawa-01.php	/thm/town-urawa-1.png			3	エリア情報	NULL	NULL
2008	【鰻】鰻 むさし乃	浦和が誇るふわトロの肉厚鰻。初めて食べた方は「びっくりした」という感想を残すほどの極上品。	town2	/magazine/article/urawa-02.php	/thm/town-urawa-2.png			2	エリア情報	NULL	NULL
2009	【洋菓子】ダンテ工房店	数々の賞を受賞！国産の無添加チーズにこだわったチーズケーキ。	town2	/magazine/article/urawa-03.php	/thm/town-urawa-3.png			1	エリア情報	NULL	NULL
3001	メルマガ配信・会報誌のお届け	会員さまには月に1回メールマガジンを、年に3回ブランシエラレター（会報誌）をお届けします。	gift	/gift/article/mail.php	/thm/gift-mail.png				その他サービス	NULL	NULL
3002	商品企画アンケートへのご参加	会員さまのご意見を商品企画へと反映するために、アンケートを実施しております。お答えいただいた方の中から抽選でプレゼントもご用意。	gift	/gift/article/enq.php	/thm/gift-enq.png				プレゼント	アンケート	NULL
3004	ブランド家具ご購入優待割引	事前にショールームへのご来場予約をされた会員さまに、長谷工インテック取扱いブランド家具を優待割引！	gift	/gift/article/furniture.php	/thm/gift-furniture.png				暮らしのサービス	優待・割引	NULL
3005	不動産売却無料査定	長谷工リアルエステートの「無料査定」をご利用いただけます。	gift	/gift/article/sale.php	/thm/gift-sale.png			-1	暮らしのサービス	優待・割引	NULL
3006	ブランド品・貴金属などの宅配買取「最大5,000円UP」	ご自宅から商品を送るだけで安心買取・簡単3ステップの宅配買取「最大5,000円UP」を実施中！	gift	/gift/article/kasikosh.php	/thm/gift-kasikosh.png				暮らしのサービス	優待・割引	NULL
3007	賃貸マンション仲介手数料最大50％OFF	「長谷工アイネット」を利用して賃貸物件に入居された場合、仲介手数料最大50％OFFを実施いたします。	gift	/gift/article/inet.php	/thm/gift-inet.png				暮らしのサービス	優待・割引	NULL
3010	長谷工グループの高齢者住宅「無料」体験宿泊	長谷工グループの「センチュリーライフ」「生活科学運営」が運営する高齢者住宅にて体験宿泊が無料でご利用いただけます。	gift	/gift/article/nursing.php	/thm/gift-nursing.png				暮らしのサービス	優待・割引	NULL
3008	ご高齢者向けサービス「長谷工あんしん見守りサービス」優待割引	離れてお住まいのご高齢のご家族を「そっと」見守るサービスをご優待価格でご利用いただけます。	gift	/gift/article/senior.php	/thm/gift-senior.png			-1	暮らしのサービス	優待・割引	NULL
3009	リフォーム工事で大丸松坂屋のグルメギフトをプレゼント！	長谷工リフォームのリフォーム工事でご成約時の金額が100万円以上の方に大丸松坂屋のグルメギフトをプレゼント！	gift	/gift/article/reform.php	/thm/gift-reform.png			-1	暮らしのサービス	優待・割引	NULL
3011	【総額100万円！】うれしい旅立ちプレゼントキャンペーン	ブランシエラクラブサイトが、見やすく、もっと楽しくリニューアル！さらに長谷工IDスタートを記念して、スペシャルプレゼントをご用意しました。ぜひふるってご応募ください！	gift	/gift/article/jtb.php	/thm/gift-jtb.png	end			プレゼント	NULL	NULL
4001	長谷工ならではの技術見学会 Vol.1 レポート	2015年2月7日（土）、「長谷工ライフ研修センター」にて、マンション管理で実際に使用されている建築設備・機器類の技術見学会を開催しました。	event	/event/article/seeing.php	/thm/event-seeing.png	review			イベント	レポート	NULL
4002	「ブランシエラ板橋西台」WEBアンケート	2014年7月に「ブランシエラ板橋西台」商品企画に関するアンケート調査を実施し、魅力を感じる外観デザインやプランなどについてみなさまの声をお聞きしました。	enq	/event/article/enq_nishidai.php	/thm/gift-enq.png	review			アンケート	レポート	NULL
4003	南千住商品企画アンケート		event					-1	プレゼント	アンケート	NULL
4004	商品企画アンケートへのご参加	会員さまのご意見を商品企画へと反映するために、アンケートを実施しております。お答えいただいた方の中から抽選でプレゼントもご用意。	event	/gift/article/enq.php	/thm/gift-enq.png			-1	アンケート	NULL	NULL
4005	長谷工ならではの技術見学会 Vol.2	≪ 限定公開 ≫“長谷工の最先端マンション技術”を紹介する一般非公開施設に特別ご招待！	event	/event/article/seeing-l.php	/thm/event-seeing-l.png			-1	イベント	NULL	NULL
4006	長谷工ならではの技術見学会 Vol.2 レポート	2016年1月16日（土）、長谷工のプレゼンテーションスペース「LIPS」にて、実際にマンションに使われている住宅設備や最新仕様の技術見学会を開催しました。	event	/event/article/report-l.php	/thm/event-report-l.png	review			イベント	レポート	NULL
4006	【脱ゆがみライフ！骨盤の調整レッスンご招待】会員さま限定イベント第1弾参加者募集！	参加無料の会員さま限定イベント第1弾は、話題の「骨盤の調整レッスン」。会員さまのためのスペシャルレッスン企画です。教えてくださるのはボディワークプロデューサーのkyoさん。独自のメソッドで提唱する「美しい骨盤づくり」を直々に伝授してくれます。この機会にぜひ、目からウロコの美ボディメソッドを体感してみませんか?	event	/event/article/event-kotsuban.php	/thm/event-kotsuban.png			-1	イベント	NULL	NULL
4007	松本哲也プロによるゴルフレッスンご招待	「長谷工住まいの大相談会～長谷工スーパーウィーク」にて、松本哲也プロによるパッティングのレッスンにご招待いたします。	event	/event/article/event-golf.php	/thm/event-golf.png	end		-1	イベント	NULL	NULL
4008	会員限定イベント第1弾　イベントレポート	2017年1月21日(土)、会員さま限定イベント第1弾といたしまして美しい骨盤づくりのボディワーク「b-i STYLE®」レッスンを開催いたしました	event	/event/article/report-kotsuban.php	/thm/event-kotsuban.png	review		11	イベント	レポート	NULL
4009	会員限定イベント第2弾　イベントレポート	松本哲也プロによるゴルフレッスン「ミニ講座＆レッスン！！ パッティング編」を開催しました。	event	/event/article/report-golf.php	/thm/event-golf.png	review		12	イベント	レポート	NULL
4010	まぼろしのお米『たなかみ米』田植え体験	会員さま限定イベント第3弾は、まぼろしのお米『たなかみ米』田植え体験イベントを開催します。田植えを通じて「食育体験」をぜひお楽しみください。	event	/event/article/event-tanakami.php	/thm/event-tanakami.png	end		13	イベント	NULL	NULL
4011	JAL工場見学～SKY MUSEUM～ご招待 / 会員限定イベント第4弾	なかなか予約が取りづらい有名スポット。大人から子供まで楽しめる体験型ミュージアムへ会員さまをご招待いたします。	event	/event/article/event-jal.php	/thm/event-jal.png	end		14	イベント	NULL	NULL
4012	PGAスペシャルプロアマ大会2017 ご招待	「マルハンカップ太平洋クラブシニア」の会場にて、同大会に出場するシニアトッププロと一緒に1ラウンドプレーできる「スペシャルプロアマ大会」へご招待いたします。みなさま、奮ってご応募ください。	event	/event/article/event-golf2.php	/thm/event-golf2.png	end		15	イベント	NULL	NULL
4013	脱ゆがみライフ！骨盤の調整レッスンご招待 ≪東京・大阪W開催≫	参加無料の会員さま限定イベント第5弾は、話題の「骨盤の調整レッスン」。会員さまのためのスペシャルレッスン企画です。この機会にぜひ、目からウロコの美ボディメソッドを体感してみませんか?	event	/event/article/event-kotsuban2.php	/thm/event-kotsuban.png	end		17	イベント	NULL	NULL
4014	まぼろしのお米『たなかみ米』～稲とアイガモの成長レポート～	会員さまイベント「田植え体験」でご参加のみなさまに植えていただいた稲を収穫までレポートいたします。	event	/event/article/report-tanakami.php	/thm/event-tanakami.png			16	イベント	レポート	NULL
4015	会員限定イベント第3弾　イベントレポート	会員さま限定イベント3回目の今回は、滋賀県大津市にある「長谷工あんしんデリ 大津農場」にて、田植え体験を実施しました。	event	/event/article/report-tanakami2.php	/thm/report-tanakami2.png			18	イベント	レポート	NULL
4016	会員限定イベント第4弾　イベントレポート	会員限定イベント第4弾は、なかなか予約がとれないことで有名な「JAL工場見学～SKY MUSEUM～」イベントでした！	event	/event/article/report-jal.php	/thm/report-jal.png			19	イベント	レポート	NULL
4017	ゴルフプロアマ大会参加・プロゴルフ観戦ツアーW開催	シニアトッププロと一緒に1ラウンドプレーできるプロアマ大会へご招待。あわせて、プロゴルフ決勝トーナメントの観戦ツアーも。みなさま、奮ってご応募ください。	event	/event/article/event-golf3.php	/thm/event-golf3.png	eend		20	イベント	NULL	NULL
5003	長谷工のマンション再生セミナー	アイスムが無料でご招待するイベント第1弾は、話題の「骨盤調整レッスン」。会員のためのスペシャルレッスン企画です。教えてくださるのはボディワークプロデューサーのkyoさん。独自のメソッドで提唱する「美しい骨盤づくり」を直々に伝授してくれます。この機会にぜひ、目からウロコの美ボディメソッドを体感してみませんか?	seminar	http://www.haseko.co.jp/saisei/seminar/	/thm/event-saisei.png		1	-1	セミナー	NULL	NULL
5004	長谷工住まいの大相談会	【住まいのこと、なんでもご相談】期間中、相談ブース常設！住まいのこと何でも相談できます。ぜひお気軽にお立ち寄りください。	seminar	/hsw/	/thm/event-hsw.png		1	-1	セミナー	イベント	NULL
6001	【ブランシエラ板橋西台】全員に当たる！竣工記念キャンペーン開催！	＜平成28年3月末日まで＞もれなく全員に当たる！竣工記念キャンペーンを開催中！	mansion	/event/article/event.php	/thm/event-nishidai.png			-1	イベント	NULL	NULL
6002	【ブランシエラ浦和駒場】ご来場特典プレゼント！	ご来場いただき、ブランシエラクラブにご入会いただいた方に、もれなくオリジナル防災グッズをプレゼント！	mansion	/event/article/event-urawa.php	/thm/event-urawa.png			-1	イベント	NULL	NULL
7001	Mr.わくわくメンテナンス講座 Vol.1	居室と外部をつなぐ大切な場所、玄関扉とサッシ編です。	wakuwaku	/magazine/article/w-vol01.php	/thm/waku-01.png				コラム	NULL	NULL
7002	Mr.わくわくメンテナンス講座 Vol.2	家族みんなで毎日使う場所。洗面台のお手入れ編です。	wakuwaku	/magazine/article/w-vol02.php	/thm/waku-02.png				コラム	NULL	NULL
7003	Mr.わくわくメンテナンス講座 Vol.3	健康な日常生活のための、大切な換気についてご紹介します。	wakuwaku	/magazine/article/w-vol03.php	/thm/waku-03.png				コラム	NULL	NULL
7004	Mr.わくわくメンテナンス講座 Vol.4	水の大切さについて考え、同時に室内の水廻り機器をチェックしましょう。	wakuwaku	/magazine/article/w-vol04.php	/thm/waku-04.png				コラム	NULL	NULL
7005	Mr.わくわくメンテナンス講座 Vol.5	夏を迎える前にきれいにしたい。おうちのおそうじポイント。	wakuwaku	/magazine/article/w-vol05.php	/thm/waku-05.png				コラム	NULL	NULL
7006	Mr.わくわくメンテナンス講座 Vol.6	夏を迎える前にきれいにしたい。おうちのおそうじポイント。Part2	wakuwaku	/magazine/article/w-vol06.php	/thm/waku-06.png				コラム	NULL	NULL
7007	Mr.わくわくメンテナンス講座 Vol.7	交換のサインを見逃さない！照明器具のメンテナンス。	wakuwaku	/magazine/article/w-vol07.php	/thm/waku-07.png				コラム	NULL	NULL
7008	Mr.わくわくメンテナンス講座 Vol.8	窓をあけてフレッシュな風をお部屋に！	wakuwaku	/magazine/article/w-vol08.php	/thm/waku-08.png				コラム	NULL	NULL
7009	Mr.わくわくメンテナンス講座 Vol.9	結露と上手に付き合って、冬のお部屋を快適に	wakuwaku	/magazine/article/w-vol09.php	/thm/waku-09.png				コラム	NULL	NULL
7010	Mr.わくわくメンテナンス講座 Vol.10	フレッシュな空気を効率的に取り込むための換気のチェックポイント	wakuwaku	/magazine/article/w-vol10.php	/thm/waku-10.png				コラム	NULL	NULL
